"";"AMT_INCOME_TOTAL";"AMT_CREDIT";"AMT_ANNUITY";"DAYS_BIRTH";"OWN_CAR_AGE";"AMT_GOODS_PRICE";"CNT_FAM_MEMBERS";"CODE_GENDER";"NAME_INCOME_TYPE";"NAME_EDUCATION_TYPE";"NAME_FAMILY_STATUS";"OCCUPATION_TYPE";"ORGANIZATION_TYPE";"REGION_RATING_CLIENT";"TARGET"
"170829";202500;779688;31050;-12647;11;630000;3;"F";"Commercial associate";"Higher education";"Married";"Managers";"Self-employed";"3";"1"
"228569";126000;440784;34956;-10259;NA;360000;2;"M";"Working";"Secondary / secondary special";"Married";"Drivers";"Transport: type 4";"3";"1"
"46509";90000;497520;33376,5;-8971;NA;450000;2;"F";"Working";"Secondary / secondary special";"Married";NA;"Business Entity Type 3";"2";"0"
"36567";90000;298512;17266,5;-11988;NA;270000;1;"M";"Working";"Secondary / secondary special";"Single / not married";"Laborers";"Industry: type 3";"2";"0"
"77332";270000;284400;22599;-18738;NA;225000;3;"M";"Commercial associate";"Secondary / secondary special";"Married";"Managers";"Construction";"1";"0"
"271210";112500;1113840;44302,5;-12092;NA;9e+05;2;"F";"Working";"Higher education";"Separated";"Managers";"Business Entity Type 2";"2";"0"
"193823";112500;715095;48816;-22419;NA;675000;1;"F";"Pensioner";"Secondary / secondary special";"Widow";NA;"XNA";"2";"0"
"220910";130500;1061599,5;31167;-16525;14;927000;3;"F";"Commercial associate";"Secondary / secondary special";"Married";"Laborers";"Business Entity Type 3";"2";"0"
"139837";63000;254700;14350,5;-24138;NA;225000;2;"F";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"2";"0"
"230862";391500;450000;19822,5;-13995;NA;450000;1;"F";"Working";"Secondary / secondary special";"Single / not married";"Managers";"Self-employed";"3";"0"
"243746";225000;9e+05;27288;-19401;NA;9e+05;2;"F";"Working";"Secondary / secondary special";"Married";NA;"Business Entity Type 3";"2";"0"
"182978";157500;225000;15034,5;-11063;14;225000;1;"M";"Commercial associate";"Secondary / secondary special";"Single / not married";NA;"Business Entity Type 3";"2";"0"
"216844";360000;630000;31500;-20222;NA;630000;2;"F";"Pensioner";"Higher education";"Married";NA;"XNA";"1";"0"
"79100";216000;189000;11614,5;-17302;21;189000;2;"M";"Working";"Secondary / secondary special";"Civil marriage";"Security staff";"Business Entity Type 3";"2";"0"
"146899";76500;437877;21195;-22912;NA;378000;1;"F";"Pensioner";"Secondary / secondary special";"Single / not married";NA;"XNA";"2";"0"
"63099";112500;454500;14791,5;-17492;NA;454500;2;"F";"State servant";"Higher education";"Married";"Medicine staff";"Medicine";"2";"0"
"40029";112500;225000;11250;-12910;11;225000;3;"M";"Working";"Secondary / secondary special";"Married";"Laborers";"Military";"2";"0"
"811";135000;1350000;58828,5;-16797;NA;1350000;2;"F";"Working";"Secondary / secondary special";"Married";"Sales staff";"Other";"2";"0"
"185126";45000;50940;5166;-16503;NA;45000;3;"F";"Working";"Secondary / secondary special";"Married";"Sales staff";"Self-employed";"2";"0"
"45054";180000;675000;21775,5;-12337;1;675000;1;"F";"Working";"Higher education";"Single / not married";"Core staff";"Bank";"2";"0"
"231725";135000;630000;31500;-16566;NA;630000;3;"F";"Working";"Higher education";"Married";"Managers";"Construction";"2";"0"
"63621";135000;270000;7249,5;-13830;9;270000;2;"M";"State servant";"Secondary / secondary special";"Civil marriage";"Laborers";"Transport: type 2";"2";"0"
"300378";180000;463500;23796;-9749;8;463500;2;"F";"Commercial associate";"Higher education";"Married";"Realty agents";"Realtor";"2";"0"
"252938";225000;630000;31500;-9628;NA;630000;2;"M";"Commercial associate";"Lower secondary";"Civil marriage";NA;"Business Entity Type 3";"1";"0"
"161096";67500;395766;21600;-13032;NA;283500;4;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Industry: type 3";"2";"0"
"259995";112500;522000;25110;-10963;13;522000;2;"F";"Working";"Secondary / secondary special";"Civil marriage";NA;"Transport: type 4";"2";"0"
"247015";90000;361998;18612;-11614;NA;292500;4;"F";"Working";"Secondary / secondary special";"Married";"Medicine staff";"Kindergarten";"3";"0"
"296905";157500;337500;16875;-22491;6;337500;2;"M";"Working";"Higher education";"Married";"Security staff";"Security";"2";"0"
"283225";180000;215640;15138;-24581;7;180000;2;"M";"Commercial associate";"Secondary / secondary special";"Married";"Core staff";"Transport: type 2";"1";"0"
"194852";112500;450000;24412,5;-18512;5;450000;2;"M";"Working";"Secondary / secondary special";"Civil marriage";NA;"Business Entity Type 3";"2";"0"
"147470";225000;651600;21663;-15992;NA;562500;1;"F";"Working";"Higher education";"Single / not married";"Managers";"School";"2";"1"
"217861";126000;343800;12478,5;-18135;NA;225000;1;"F";"Commercial associate";"Secondary / secondary special";"Single / not married";"HR staff";"Cleaning";"2";"0"
"246413";180000;225000;7195,5;-9832;8;225000;3;"M";"Working";"Higher education";"Married";"Sales staff";"Trade: type 2";"3";"1"
"204856";225000;1305909;47038,5;-19030;NA;1170000;1;"F";"Working";"Secondary / secondary special";"Separated";"Laborers";"Industry: type 4";"2";"0"
"177741";112500;675000;26154;-20524;3;675000;2;"F";"Working";"Secondary / secondary special";"Married";NA;"Services";"2";"0"
"207434";225000;450000;36211,5;-12653;NA;450000;2;"F";"Working";"Higher education";"Married";"Managers";"Business Entity Type 3";"2";"0"
"161460";180000;269550;21739,5;-11520;NA;225000;1;"M";"Working";"Secondary / secondary special";"Single / not married";NA;"Security";"2";"0"
"264622";180000;1288350;37800;-22258;NA;1125000;2;"F";"Pensioner";"Higher education";"Married";NA;"XNA";"1";"0"
"93822";126000;247275;19822,5;-10547;NA;225000;3;"M";"Working";"Lower secondary";"Married";"Drivers";"Self-employed";"3";"0"
"133420";45000;544491;16047;-21667;NA;454500;1;"F";"Pensioner";"Secondary / secondary special";"Widow";NA;"XNA";"2";"0"
"188558";72000;225000;12213;-18481;NA;225000;1;"F";"Working";"Secondary / secondary special";"Single / not married";"Accountants";"Self-employed";"2";"1"
"83756";139500;381528;18684;-13236;NA;315000;3;"F";"Working";"Secondary / secondary special";"Separated";"Sales staff";"Self-employed";"2";"0"
"160043";67500;78192;8550;-19064;NA;67500;2;"M";"Working";"Secondary / secondary special";"Married";"Core staff";"Agriculture";"2";"0"
"74102";112500;675000;21775,5;-15424;NA;675000;2;"F";"Working";"Secondary / secondary special";"Separated";"Laborers";"Medicine";"2";"0"
"15822";135000;805500;26748;-19103;NA;805500;1;"M";"Working";"Incomplete higher";"Separated";NA;"Government";"2";"0"
"264788";292500;808650;26086,5;-18212;NA;675000;2;"F";"State servant";"Secondary / secondary special";"Married";NA;"Other";"3";"0"
"289475";90000;645889,5;23328;-16269;NA;490500;2;"F";"Working";"Secondary / secondary special";"Married";NA;"Self-employed";"2";"1"
"194653";90000;1078200;31653;-21516;NA;9e+05;2;"F";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"2";"0"
"155062";360000;9e+05;45000;-17036;NA;9e+05;2;"M";"Commercial associate";"Higher education";"Married";"Managers";"Other";"2";"0"
"94843";67500;225000;8482,5;-14077;NA;225000;2;"M";"Working";"Higher education";"Married";NA;"Other";"2";"0"
"269174";202500;1174090,5;49873,5;-21011;NA;1080000;2;"F";"Pensioner";"Secondary / secondary special";"Civil marriage";NA;"XNA";"2";"0"
"232699";90000;234000;10305;-10419;NA;234000;2;"F";"Working";"Secondary / secondary special";"Separated";"Core staff";"Restaurant";"1";"1"
"85943";180000;325908;16767;-23399;NA;247500;1;"F";"Pensioner";"Secondary / secondary special";"Widow";NA;"XNA";"2";"0"
"306453";324000;945000;30613,5;-10705;14;945000;4;"F";"Working";"Higher education";"Married";"Sales staff";"Business Entity Type 3";"2";"1"
"102211";42750;688090,5;24844,5;-21875;NA;594000;2;"F";"Pensioner";"Lower secondary";"Married";NA;"XNA";"2";"0"
"250722";135000;450000;21649,5;-20076;NA;450000;2;"F";"Working";"Secondary / secondary special";"Married";NA;"Self-employed";"3";"0"
"214230";126000;405000;10813,5;-10669;8;405000;1;"F";"Commercial associate";"Higher education";"Widow";"Sales staff";"Self-employed";"3";"0"
"227777";90000;156384;18688,5;-9815;14;135000;1;"M";"Commercial associate";"Secondary / secondary special";"Single / not married";NA;"Business Entity Type 3";"2";"0"
"44514";315000;980838;52389;-16024;7;927000;1;"M";"Commercial associate";"Higher education";"Single / not married";"Managers";"Transport: type 4";"2";"0"
"39557";90000;573628,5;27724,5;-19386;9;463500;2;"M";"Working";"Secondary / secondary special";"Married";"Drivers";"Business Entity Type 3";"2";"0"
"197672";315000;1649844;85558,5;-10715;1;1575000;3;"M";"Working";"Incomplete higher";"Married";NA;"Self-employed";"2";"0"
"55896";202500;1528200;53248,5;-17608;NA;1350000;1;"F";"Commercial associate";"Higher education";"Single / not married";"Accountants";"Business Entity Type 3";"3";"0"
"251088";90000;490495,5;27517,5;-22713;NA;454500;1;"F";"Pensioner";"Secondary / secondary special";"Single / not married";NA;"XNA";"2";"0"
"178198";270000;215640;17064;-15045;12;180000;3;"F";"Working";"Secondary / secondary special";"Civil marriage";"High skill tech staff";"Self-employed";"2";"0"
"299508";67500;269550;14242,5;-11190;NA;225000;3;"M";"Working";"Higher education";"Married";NA;"Business Entity Type 3";"3";"0"
"30120";360000;835380;31086;-15931;11;675000;3;"M";"Commercial associate";"Higher education";"Single / not married";NA;"Business Entity Type 3";"1";"0"
"95464";67500;225000;9909;-17841;NA;225000;2;"F";"Working";"Secondary / secondary special";"Married";"Cooking staff";"Industry: type 3";"2";"0"
"133244";157500;888840;27076,5;-17106;NA;675000;1;"F";"Working";"Secondary / secondary special";"Single / not married";"High skill tech staff";"Self-employed";"2";"0"
"237828";67500;299772;11430;-19982;NA;247500;1;"F";"Commercial associate";"Secondary / secondary special";"Widow";"Sales staff";"Self-employed";"2";"0"
"110373";337500;1800000;62568;-21124;8;1800000;2;"F";"Pensioner";"Higher education";"Married";NA;"XNA";"2";"0"
"161051";105750;450000;27193,5;-10882;NA;450000;2;"F";"Working";"Secondary / secondary special";"Civil marriage";"Laborers";"Business Entity Type 2";"2";"1"
"260216";135000;167895;17811;-15731;19;157500;2;"M";"Working";"Secondary / secondary special";"Civil marriage";"Laborers";"Business Entity Type 3";"2";"0"
"291311";270000;1067418;37948,5;-10454;NA;891000;3;"M";"Commercial associate";"Higher education";"Married";"Managers";"Business Entity Type 3";"2";"0"
"283842";225000;733315,5;42876;-14106;9;679500;1;"F";"Commercial associate";"Higher education";"Separated";"Realty agents";"Business Entity Type 3";"3";"0"
"170918";90000;448056;17019;-16830;12;315000;2;"F";"State servant";"Secondary / secondary special";"Married";"Core staff";"Medicine";"2";"0"
"18204";67500;202500;10125;-16709;NA;202500;2;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Industry: type 7";"2";"0"
"231711";112500;247500;12375;-15055;NA;247500;1;"F";"Commercial associate";"Secondary / secondary special";"Separated";"Secretaries";"Medicine";"2";"0"
"58319";112500;592560;31023;-11591;4;450000;3;"M";"State servant";"Higher education";"Married";NA;"Other";"3";"0"
"26812";225000;1350000;55845;-21376;2;1350000;2;"M";"Working";"Secondary / secondary special";"Married";"Laborers";"Construction";"2";"0"
"215169";90000;247500;12375;-21201;14;247500;2;"M";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"2";"0"
"170969";157500;203760;20151;-19094;0;180000;2;"M";"Commercial associate";"Secondary / secondary special";"Married";"Laborers";"Self-employed";"3";"0"
"45106";144000;121500;11272,5;-18256;NA;121500;1;"M";"Commercial associate";"Secondary / secondary special";"Separated";"Drivers";"Self-employed";"2";"0"
"169557";202500;247500;12375;-20181;NA;247500;2;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Self-employed";"3";"1"
"133070";90000;631332;37723,5;-22017;NA;585000;2;"F";"State servant";"Secondary / secondary special";"Married";"Cleaning staff";"Medicine";"2";"0"
"91140";112500;152820;16047;-12409;12;135000;2;"F";"Working";"Higher education";"Married";"Accountants";"Other";"2";"0"
"58806";90000;1125000;33025,5;-12892;NA;1125000;2;"F";"Working";"Secondary / secondary special";"Married";"Sales staff";"Other";"2";"0"
"132052";180000;363190,5;36049,5;-11985;12;328500;2;"M";"State servant";"Secondary / secondary special";"Married";"Managers";"Military";"2";"0"
"285018";135000;907780,5;36130,5;-21131;13;733500;2;"F";"Working";"Secondary / secondary special";"Married";NA;"Medicine";"3";"0"
"59747";270000;1179000;46885,5;-22518;NA;1179000;2;"F";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"2";"0"
"120533";183150;2013840;55377;-11172;NA;1800000;5;"F";"Commercial associate";"Higher education";"Married";"Sales staff";"Business Entity Type 3";"2";"0"
"44645";265500;760225,5;34483,5;-11207;8;679500;2;"F";"Commercial associate";"Higher education";"Civil marriage";"Core staff";"Bank";"2";"0"
"58399";135000;254412;9720;-19757;14;166500;2;"M";"Working";"Higher education";"Married";"Laborers";"Transport: type 4";"3";"1"
"191288";135000;225000;21037,5;-17761;NA;225000;1;"F";"Working";"Secondary / secondary special";"Single / not married";"Laborers";"Trade: type 7";"2";"0"
"160320";180000;675000;25146;-9473;NA;675000;1;"M";"Commercial associate";"Secondary / secondary special";"Single / not married";"Laborers";"Hotel";"3";"0"
"98122";270000;728460;38214;-23925;NA;675000;2;"M";"Pensioner";"Higher education";"Married";NA;"XNA";"1";"0"
"189504";157500;450000;17095,5;-15742;12;450000;3;"F";"Working";"Secondary / secondary special";"Married";"Cooking staff";"Industry: type 9";"2";"0"
"246502";225000;675000;34596;-19760;NA;675000;2;"M";"Commercial associate";"Higher education";"Married";"Laborers";"Business Entity Type 3";"1";"1"
"230484";270000;1004647,5;52519,5;-20918;NA;949500;2;"F";"State servant";"Higher education";"Married";NA;"Security Ministries";"2";"0"
"207024";94500;180000;11502;-20465;NA;180000;2;"F";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"2";"1"
"244744";85500;124380;12874,5;-21531;NA;112500;2;"F";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"2";"0"
"86327";135000;1061599,5;28134;-17165;NA;927000;3;"F";"Working";"Secondary / secondary special";"Married";"Sales staff";"Self-employed";"2";"0"
"68031";130500;545040;26640;-21821;NA;450000;2;"F";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"2";"0"
"199754";130500;9e+05;32017,5;-10380;NA;9e+05;2;"F";"Working";"Secondary / secondary special";"Married";"Sales staff";"Self-employed";"2";"0"
"231988";135000;1125000;29808;-17730;NA;1125000;2;"F";"Commercial associate";"Secondary / secondary special";"Married";"Core staff";"Medicine";"3";"0"
"179667";108000;942300;30528;-21733;NA;675000;1;"F";"Working";"Higher education";"Widow";NA;"Medicine";"2";"0"
"252564";126000;381528;18684;-21545;9;315000;2;"M";"Working";"Secondary / secondary special";"Married";"Laborers";"Business Entity Type 1";"2";"0"
"156522";225000;360000;18000;-10740;NA;360000;3;"F";"State servant";"Higher education";"Single / not married";"Accountants";"Transport: type 4";"1";"0"
"213886";315000;1928304;73579,5;-21411;NA;1800000;2;"F";"Pensioner";"Secondary / secondary special";"Civil marriage";NA;"XNA";"2";"0"
"25082";157500;238500;9121,5;-19335;NA;238500;2;"M";"Commercial associate";"Secondary / secondary special";"Married";"Accountants";"Business Entity Type 3";"3";"0"
"174161";166500;535500;20952;-22417;NA;535500;1;"F";"Pensioner";"Secondary / secondary special";"Single / not married";NA;"XNA";"2";"0"
"227485";130500;417024;31311;-19372;NA;360000;2;"F";"Working";"Secondary / secondary special";"Married";NA;"Business Entity Type 3";"2";"0"
"268610";180000;1053000;30919,5;-14512;NA;1053000;2;"M";"Commercial associate";"Secondary / secondary special";"Married";"Laborers";"Business Entity Type 3";"2";"0"
"175143";126000;112500;10516,5;-9479;NA;112500;1;"M";"Working";"Higher education";"Single / not married";"Core staff";"Trade: type 2";"2";"0"
"104920";144000;1258650;52074;-17020;10;1125000;2;"F";"Commercial associate";"Higher education";"Married";"Managers";"Trade: type 3";"2";"0"
"176602";270000;1133748;29907;-12434;4;990000;1;"F";"Working";"Higher education";"Single / not married";"Sales staff";"Other";"2";"0"
"132497";157500;150948;13972,5;-11194;NA;126000;3;"M";"Commercial associate";"Higher education";"Married";NA;"Business Entity Type 2";"2";"1"
"121487";157500;343800;13090,5;-15841;7;225000;2;"F";"Working";"Higher education";"Married";NA;"Industry: type 11";"2";"0"
"257646";495000;2190051;60354;-15770;6;1957500;2;"M";"Commercial associate";"Higher education";"Civil marriage";"Managers";"Trade: type 2";"1";"0"
"243856";81000;521280;23089,5;-17907;26;450000;5;"M";"Working";"Secondary / secondary special";"Married";"Drivers";"Business Entity Type 3";"3";"0"
"224911";216000;961146;31135,5;-13394;14;688500;4;"M";"Working";"Secondary / secondary special";"Married";"Core staff";"Military";"2";"0"
"138748";112500;508495,5;22396,5;-20052;NA;454500;2;"F";"Working";"Secondary / secondary special";"Married";"Cooking staff";"Kindergarten";"3";"0"
"2653";180000;270000;13500;-14319;NA;270000;2;"M";"Working";"Secondary / secondary special";"Married";"Managers";"Agriculture";"2";"0"
"265957";112500;288873;10890;-16960;NA;238500;2;"F";"Working";"Secondary / secondary special";"Married";"Cleaning staff";"Trade: type 7";"3";"0"
"232377";157500;1138500;42192;-10991;NA;1138500;3;"F";"Commercial associate";"Secondary / secondary special";"Single / not married";NA;"Business Entity Type 3";"2";"0"
"39645";225000;835380;40320;-11847;0;675000;3;"F";"Commercial associate";"Higher education";"Married";NA;"Business Entity Type 3";"1";"0"
"33338";121500;765000;31288,5;-8852;9;765000;2;"F";"Commercial associate";"Higher education";"Married";"Sales staff";"Trade: type 7";"2";"0"
"130066";189000;495000;24750;-17956;NA;495000;2;"F";"Commercial associate";"Higher education";"Married";"Accountants";"Business Entity Type 2";"2";"0"
"188062";67500;180000;9000;-10648;NA;180000;1;"F";"Commercial associate";"Higher education";"Single / not married";"Accountants";"Business Entity Type 3";"3";"0"
"275314";1306831,5;157500;7875;-13422;6;157500;2;"F";"Commercial associate";"Higher education";"Married";"Accountants";"Security";"2";"0"
"49934";337500;2169913,5;59800,5;-23023;NA;1939500;2;"F";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"1";"0"
"125151";112500;180000;9000;-17853;NA;180000;1;"F";"Working";"Secondary / secondary special";"Single / not married";NA;"Business Entity Type 2";"3";"1"
"145567";180000;738567;21294;-13712;3;616500;3;"M";"Commercial associate";"Secondary / secondary special";"Married";NA;"Other";"2";"0"
"171893";112500;284400;13963,5;-10519;NA;225000;1;"F";"Working";"Secondary / secondary special";"Single / not married";"Medicine staff";"Other";"2";"0"
"119599";112500;797868;23458,5;-23373;NA;666000;2;"F";"Working";"Secondary / secondary special";"Civil marriage";NA;"Government";"2";"0"
"240372";90000;202500;10125;-16150;8;202500;2;"M";"Working";"Secondary / secondary special";"Married";"Laborers";"Business Entity Type 3";"2";"0"
"252492";135000;760500;25263;-18717;NA;760500;1;"F";"Working";"Secondary / secondary special";"Single / not married";"Managers";"Self-employed";"2";"0"
"89110";112500;526491;22261,5;-15176;NA;454500;1;"F";"Commercial associate";"Secondary / secondary special";"Single / not married";NA;"Business Entity Type 3";"2";"1"
"17464";81000;225000;11250;-16183;NA;225000;1;"F";"Working";"Secondary / secondary special";"Single / not married";"Medicine staff";"Kindergarten";"3";"0"
"111979";81000;247500;12375;-19798;NA;247500;2;"M";"Commercial associate";"Secondary / secondary special";"Civil marriage";"Security staff";"Business Entity Type 3";"2";"0"
"238413";270000;886716;61713;-12738;11;837000;2;"M";"Working";"Higher education";"Civil marriage";"Managers";"Self-employed";"1";"0"
"281058";135000;808650;26217;-22272;NA;675000;2;"F";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"2";"0"
"172945";112500;238500;23364;-21450;7;238500;2;"F";"Working";"Secondary / secondary special";"Married";"Cleaning staff";"Electricity";"2";"0"
"301610";180000;808650;26217;-15752;NA;675000;4;"F";"Working";"Higher education";"Civil marriage";"High skill tech staff";"Industry: type 9";"3";"0"
"16066";180000;1350000;37255,5;-18128;5;1350000;2;"F";"Working";"Secondary / secondary special";"Married";"Sales staff";"Business Entity Type 3";"2";"0"
"87823";153000;916470;24304,5;-11971;NA;765000;2;"F";"Working";"Secondary / secondary special";"Married";"Managers";"Business Entity Type 3";"1";"0"
"120229";67500;327024;12456;-18544;NA;270000;1;"F";"Working";"Secondary / secondary special";"Separated";"Laborers";"Industry: type 11";"2";"0"
"22273";225000;1215000;35653,5;-16244;4;1215000;3;"F";"Commercial associate";"Higher education";"Married";"Sales staff";"Business Entity Type 3";"2";"0"
"252972";112500;888840;35815,5;-15116;9;675000;2;"M";"Working";"Secondary / secondary special";"Married";"Laborers";"Industry: type 4";"3";"0"
"256514";270000;755190;36459;-13348;NA;675000;4;"M";"Working";"Higher education";"Married";"Laborers";"Business Entity Type 3";"3";"0"
"19929";90000;270000;13500;-11379;NA;270000;4;"M";"Working";"Secondary / secondary special";"Married";"Laborers";"Transport: type 4";"2";"0"
"212402";90000;312768;13905;-14571;NA;270000;1;"F";"Working";"Secondary / secondary special";"Single / not married";"Cleaning staff";"Housing";"2";"0"
"257828";180000;270000;13500;-11252;2;270000;3;"F";"Commercial associate";"Secondary / secondary special";"Married";"Cooking staff";"Self-employed";"1";"0"
"85775";202500;450000;22500;-23202;NA;450000;1;"F";"Pensioner";"Secondary / secondary special";"Single / not married";NA;"XNA";"3";"0"
"145731";135000;780363;35392,5;-13242;2;697500;4;"F";"Commercial associate";"Secondary / secondary special";"Married";"Sales staff";"Self-employed";"2";"0"
"95373";45000;508495,5;26091;-22628;NA;454500;2;"F";"Pensioner";"Secondary / secondary special";"Married";NA;"XNA";"2";"1"
"157232";132750;385749;26226;-23116;64;333000;1;"F";"Pensioner";"Secondary / secondary special";"Single / not married";NA;"XNA";"1";"0"
"72756";180000;1260000;46692;-21568;NA;1260000;2;"M";"Working";"Secondary / secondary special";"Married";"Drivers";"Industry: type 3";"2";"0"
"48989";135000;305221,5;11092,5;-18837;64;252000;2;"F";"Working";"Higher education";"Married";"Security staff";"Security";"3";"0"
"155161";157500;178290;20295;-17031;NA;157500;2;"M";"Working";"Secondary / secondary special";"Married";"Drivers";"Business Entity Type 2";"2";"0"
"114540";270000;917860,5;51381;-12744;NA;850500;4;"F";"Working";"Higher education";"Married";"Core staff";"Police";"3";"0"
"71472";351000;1017000;32805;-13681;NA;1017000;3;"M";"Working";"Higher education";"Married";"Managers";"Self-employed";"2";"0"
"79618";135000;528633;22527;-14463;NA;472500;1;"F";"Commercial associate";"Secondary / secondary special";"Single / not married";NA;"Business Entity Type 2";"2";"0"
"295629";103500;389043;29218,5;-9409;4;333000;2;"F";"Commercial associate";"Secondary / secondary special";"Married";NA;"Transport: type 2";"2";"0"
"227222";112500;862560;23719,5;-22692;NA;720000;2;"M";"Working";"Secondary / secondary special";"Married";"Cleaning staff";"Trade: type 7";"2";"0"
"17281";67500;178290;12042;-10749;NA;157500;1;"M";"Working";"Higher education";"Single / not married";"Low-skill Laborers";"Business Entity Type 1";"2";"0"
"46703";112500;180000;9000;-12473;NA;180000;2;"F";"Working";"Secondary / secondary special";"Civil marriage";"Laborers";"Industry: type 1";"2";"0"
