"";"AMT_INCOME_TOTAL";"AMT_CREDIT";"AMT_ANNUITY";"DAYS_BIRTH";"OWN_CAR_AGE";"AMT_GOODS_PRICE";"CNT_FAM_MEMBERS";"CODE_GENDER";"NAME_INCOME_TYPE";"NAME_EDUCATION_TYPE";"NAME_FAMILY_STATUS";"OCCUPATION_TYPE";"ORGANIZATION_TYPE";"REGION_RATING_CLIENT";"TARGET"
"190991";157500;1125000;33021;-16677;NA;1125000;3;"F";"Commercial associate";"Higher education";"Married";"Core staff";"Kindergarten";"2";"0"
"107226";135000;232438,5;20011,5;-8919;NA;211500;1;"M";"Commercial associate";"Lower secondary";"Single / not married";"Laborers";"Other";"2";"0"
"85674";51750;814041;23800,5;-14615;NA;679500;2;"F";"State servant";"Secondary / secondary special";"Married";"Laborers";"Postal";"2";"0"
"250586";225000;254700;14350,5;-23940;3;225000;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"24733";333000;1462500;77922;-20256;2;1462500;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"141230";180000;469152;33493,5;-18618;11;405000;1;"M";"Working";"Secondary / secondary special";"Separated";"Managers";"Business Entity Type 3";"3";"0"
"199493";270000;71316;7618,5;-15087;3;63000;2;"M";"Commercial associate";"Secondary / secondary special";"Married";"Drivers";"Transport: type 3";"1";"0"
"205634";90000;450000;21888;-9829;NA;450000;3;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Business Entity Type 3";"2";"0"
"279677";130500;225000;8482,5;-15177;NA;225000;2;"F";"Working";"Secondary / secondary special";"Married";"";"Kindergarten";"2";"0"
"118226";270000;808650;31333,5;-10229;NA;675000;3;"F";"Working";"Secondary / secondary special";"Married";"Medicine staff";"Medicine";"1";"0"
"108277";225000;713889;43803;-20172;15;661500;2;"M";"Working";"Secondary / secondary special";"Married";"Laborers";"University";"1";"0"
"27909";99000;497520;26500,5;-15292;NA;450000;1;"F";"Working";"Secondary / secondary special";"Separated";"Laborers";"Business Entity Type 3";"2";"0"
"103322";315000;473760;50269,5;-9767;NA;450000;1;"M";"Commercial associate";"Secondary / secondary special";"Single / not married";"Drivers";"Industry: type 3";"1";"0"
"139347";207000;270000;26433;-22973;NA;270000;1;"F";"Working";"Secondary / secondary special";"Widow";"Accountants";"Other";"1";"0"
"11188";135000;540000;14373;-16190;NA;540000;2;"M";"Working";"Secondary / secondary special";"Married";"Laborers";"Self-employed";"2";"0"
"247830";427500;675000;41296,5;-15144;20;675000;4;"M";"Commercial associate";"Higher education";"Married";"Managers";"Industry: type 5";"2";"0"
"238491";112500;508495,5;21672;-11504;11;454500;3;"M";"Working";"Secondary / secondary special";"Married";"Drivers";"Industry: type 11";"2";"0"
"127934";112500;247500;9459;-22605;28;247500;1;"F";"Working";"Higher education";"Widow";"Core staff";"Medicine";"2";"0"
"188632";405000;521280;44725,5;-10231;4;450000;3;"M";"Commercial associate";"Secondary / secondary special";"Married";"Laborers";"Business Entity Type 3";"2";"0"
"305102";112500;314055;13963,5;-14415;NA;238500;1;"F";"Working";"Secondary / secondary special";"Single / not married";"";"Business Entity Type 3";"2";"0"
"105337";135000;180000;9000;-10477;1;180000;3;"M";"Working";"Higher education";"Married";"Drivers";"Business Entity Type 3";"2";"0"
"177914";112500;202500;10125;-14027;17;202500;3;"F";"Commercial associate";"Secondary / secondary special";"Married";"Sales staff";"Business Entity Type 3";"2";"0"
"140627";99000;238896;13842;-21959;NA;189000;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"25712";202500;679500;19998;-14062;NA;679500;3;"M";"Working";"Higher education";"Married";"Drivers";"Business Entity Type 3";"2";"0"
"268325";180000;1350000;46926;-15031;3;1350000;2;"F";"Commercial associate";"Higher education";"Married";"";"Business Entity Type 3";"2";"0"
"195490";180000;518562;34924,5;-19312;NA;463500;2;"F";"Working";"Higher education";"Married";"Core staff";"School";"2";"0"
"110677";135000;621621;49113;-18550;NA;576000;2;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Self-employed";"2";"0"
"254410";135000;562491;27189;-13367;NA;454500;4;"M";"Working";"Secondary / secondary special";"Married";"Laborers";"Construction";"2";"0"
"203638";292500;684657;26658;-14578;64;571500;3;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Construction";"2";"0"
"9471";112500;244512;15754,5;-10041;NA;216000;2;"F";"Working";"Secondary / secondary special";"Civil marriage";"Core staff";"Self-employed";"2";"0"
"186364";121500;490536;23989,5;-15987;NA;405000;1;"F";"Working";"Secondary / secondary special";"Single / not married";"";"Business Entity Type 3";"2";"0"
"54518";315000;1864152;120663;-15968;NA;1800000;2;"F";"Working";"Higher education";"Married";"Core staff";"School";"2";"0"
"219700";130500;284400;16456,5;-24163;NA;225000;1;"F";"Pensioner";"Secondary / secondary special";"Widow";"";"XNA";"1";"0"
"249418";180000;270000;13500;-13480;NA;270000;2;"F";"Commercial associate";"Secondary / secondary special";"Married";"Sales staff";"Self-employed";"2";"0"
"89820";315000;1812456;49972,5;-14849;4;1620000;3;"F";"Working";"Secondary / secondary special";"Married";"Managers";"Business Entity Type 3";"3";"0"
"88185";45000;254700;14350,5;-24248;NA;225000;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"30882";90000;225000;16371;-12170;NA;225000;1;"F";"Commercial associate";"Secondary / secondary special";"Separated";"Sales staff";"Self-employed";"2";"0"
"132586";67500;92655;5301;-11458;NA;76500;12;"F";"Commercial associate";"Higher education";"Married";"Core staff";"School";"2";"0"
"77912";225000;381528;12316,5;-21445;NA;315000;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"19570";94500;298512;17266,5;-16569;NA;270000;2;"F";"Working";"Secondary / secondary special";"Married";"Core staff";"School";"2";"0"
"199235";180000;640080;29839,5;-13465;18;450000;2;"M";"Working";"Secondary / secondary special";"Married";"Drivers";"Self-employed";"2";"0"
"276990";112500;180000;9000;-7740;64;180000;1;"F";"Commercial associate";"Higher education";"Single / not married";"Sales staff";"Business Entity Type 3";"1";"0"
"262889";337500;1471333,5;38943;-12742;NA;1152000;2;"F";"Commercial associate";"Higher education";"Married";"Accountants";"Business Entity Type 3";"2";"0"
"187283";90000;573628,5;22878;-14267;NA;463500;2;"F";"State servant";"Secondary / secondary special";"Married";"";"Government";"2";"0"
"174475";90000;398016;20938,5;-19338;NA;360000;1;"F";"Pensioner";"Secondary / secondary special";"Single / not married";"";"XNA";"2";"0"
"299576";234000;646920;20997;-14023;14;540000;3;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Military";"2";"0"
"63887";135000;254700;23697;-10474;9;225000;1;"M";"Working";"Higher education";"Single / not married";"Sales staff";"Self-employed";"2";"0"
"238608";112500;504000;23485,5;-12656;6;504000;3;"F";"Working";"Higher education";"Married";"Laborers";"Housing";"2";"0"
"267765";435708;497520;25272;-16801;NA;450000;1;"F";"Commercial associate";"Higher education";"Single / not married";"Core staff";"Trade: type 7";"1";"0"
"161615";90000;454500;13419;-22387;NA;454500;1;"F";"Pensioner";"Secondary / secondary special";"Widow";"";"XNA";"2";"0"
"97113";49500;269550;10116;-11521;7;225000;4;"F";"Commercial associate";"Secondary / secondary special";"Married";"High skill tech staff";"Housing";"2";"0"
"131721";180000;1288350;41562;-17630;NA;1125000;4;"M";"Working";"Secondary / secondary special";"Married";"Drivers";"Government";"2";"0"
"39340";292500;805500;47227,5;-22074;NA;805500;2;"F";"Pensioner";"Secondary / secondary special";"Civil marriage";"";"XNA";"2";"0"
"304600";225000;586377;39474;-19808;NA;553500;1;"F";"Pensioner";"Secondary / secondary special";"Widow";"";"XNA";"3";"0"
"99598";180000;285723;21492;-23410;NA;238500;2;"F";"Pensioner";"Secondary / secondary special";"Civil marriage";"";"XNA";"2";"0"
"33480";126000;454500;30496,5;-19281;NA;454500;1;"F";"State servant";"Secondary / secondary special";"Single / not married";"Managers";"School";"2";"0"
"208723";135000;664884;24012;-19415;NA;495000;1;"F";"Working";"Secondary / secondary special";"Single / not married";"Core staff";"School";"3";"0"
"81590";108000;269550;18891;-24278;NA;225000;1;"F";"Working";"Higher education";"Separated";"";"Other";"2";"0"
"192210";270000;472500;51016,5;-11564;NA;454500;2;"F";"Commercial associate";"Higher education";"Married";"Core staff";"Self-employed";"1";"0"
"292926";292500;1155226,5;37395;-16382;NA;904500;2;"F";"Working";"Secondary / secondary special";"Married";"Low-skill Laborers";"Other";"2";"0"
"118017";67500;153504;16659;-24572;NA;144000;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"77871";135000;1227901,5;52024,5;-10909;NA;1129500;2;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Self-employed";"2";"0"
"6988";81000;254700;14751;-24190;30;225000;2;"M";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"256236";202500;1345500;39469,5;-19756;NA;1345500;1;"F";"Commercial associate";"Secondary / secondary special";"Separated";"Low-skill Laborers";"Industry: type 11";"2";"0"
"289574";270000;781920;50103;-12293;2;675000;2;"M";"Working";"Secondary / secondary special";"Married";"Sales staff";"Business Entity Type 3";"2";"0"
"305051";225000;832500;46615,5;-19928;NA;832500;1;"F";"Working";"Secondary / secondary special";"Separated";"Sales staff";"Trade: type 7";"2";"0"
"225620";81000;373500;10831,5;-16354;NA;225000;1;"M";"Commercial associate";"Secondary / secondary special";"Separated";"Low-skill Laborers";"Construction";"2";"0"
"52295";270000;521280;28408,5;-17797;3;450000;4;"M";"Working";"Secondary / secondary special";"Married";"Managers";"Self-employed";"2";"0"
"136882";112500;136287;6133,5;-21524;NA;103500;2;"F";"Pensioner";"Lower secondary";"Married";"";"XNA";"2";"0"
"217780";67500;135000;6750;-16056;NA;135000;2;"M";"Working";"Secondary / secondary special";"Separated";"Laborers";"Industry: type 11";"3";"0"
"34632";157500;808650;29839,5;-16705;15;675000;3;"M";"Working";"Secondary / secondary special";"Married";"";"Industry: type 9";"2";"0"
"234656";288000;495000;24750;-16077;NA;495000;2;"F";"State servant";"Higher education";"Married";"Core staff";"School";"2";"0"
"266961";157500;270000;13500;-16813;NA;270000;2;"F";"Working";"Secondary / secondary special";"Civil marriage";"";"Business Entity Type 3";"2";"0"
"4295";85500;315000;16213,5;-20070;NA;315000;2;"F";"Working";"Secondary / secondary special";"Civil marriage";"Accountants";"Self-employed";"2";"0"
"160464";135000;269550;24853,5;-9061;NA;225000;2;"M";"Commercial associate";"Secondary / secondary special";"Married";"Drivers";"Business Entity Type 3";"2";"0"
"290174";135000;363190,5;35509,5;-22218;NA;328500;1;"F";"Commercial associate";"Secondary / secondary special";"Separated";"Core staff";"Business Entity Type 3";"2";"0"
"299978";292500;675000;32472;-9965;NA;675000;2;"F";"Commercial associate";"Higher education";"Married";"Managers";"School";"2";"0"
"195406";180000;1082214;35041,5;-12363;NA;945000;2;"F";"Working";"Incomplete higher";"Single / not married";"";"Business Entity Type 3";"1";"0"
"273894";310500;9e+05;57649,5;-16529;3;9e+05;2;"F";"Working";"Secondary / secondary special";"Married";"Cooking staff";"Restaurant";"1";"0"
"242577";90000;202500;10125;-8591;NA;202500;2;"F";"Working";"Secondary / secondary special";"Married";"Waiters/barmen staff";"Business Entity Type 3";"2";"0"
"59154";112500;331920;17077,5;-21768;NA;225000;2;"F";"Pensioner";"Higher education";"Married";"";"XNA";"2";"0"
"137545";90000;225000;20952;-21666;19;225000;2;"M";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"124712";137025;455040;13171,5;-9165;15;360000;1;"M";"Commercial associate";"Secondary / secondary special";"Single / not married";"Sales staff";"Business Entity Type 3";"2";"0"
"84850";166500;552555;29569,5;-23134;NA;477000;1;"F";"Pensioner";"Secondary / secondary special";"Separated";"";"XNA";"3";"0"
"131547";540000;675000;76342,5;-11459;3;675000;5;"F";"Commercial associate";"Higher education";"Married";"HR staff";"Self-employed";"2";"0"
"128208";67500;95940;9342;-17368;29;90000;2;"F";"State servant";"Secondary / secondary special";"Married";"";"Other";"2";"0"
"173112";112500;225000;11250;-11443;NA;225000;2;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Self-employed";"2";"0"
"30101";180000;508495,5;23692,5;-15644;NA;454500;2;"F";"Working";"Secondary / secondary special";"Separated";"Sales staff";"Self-employed";"3";"0"
"130149";270000;1125000;33025,5;-13399;22;1125000;2;"M";"Working";"Higher education";"Separated";"Managers";"Self-employed";"2";"0"
"18446";144000;525735;40815;-15108;NA;450000;3;"F";"State servant";"Secondary / secondary special";"Married";"";"Government";"2";"0"
"175104";112500;123637,5;8923,5;-20311;NA;112500;3;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"7167";67500;356076;24912;-23188;21;324000;2;"F";"Pensioner";"Lower secondary";"Married";"";"XNA";"3";"0"
"189232";108000;454500;14661;-14453;NA;454500;2;"M";"Working";"Secondary / secondary special";"Civil marriage";"Drivers";"Self-employed";"2";"0"
"91091";162000;9e+05;26446,5;-21755;17;9e+05;2;"F";"Working";"Secondary / secondary special";"Married";"Drivers";"Business Entity Type 2";"2";"0"
"58667";202500;1483231,5;51687;-13189;NA;1354500;3;"F";"Commercial associate";"Higher education";"Married";"Accountants";"Business Entity Type 3";"3";"0"
"33758";103500;9e+05;26446,5;-14308;NA;9e+05;1;"M";"Working";"Secondary / secondary special";"Single / not married";"Low-skill Laborers";"Business Entity Type 3";"2";"0"
"31742";90000;454500;15151,5;-23781;NA;454500;1;"F";"Pensioner";"Secondary / secondary special";"Widow";"";"XNA";"3";"0"
"242998";126000;545040;36553,5;-19246;NA;450000;2;"F";"Working";"Secondary / secondary special";"Married";"Sales staff";"Business Entity Type 3";"1";"0"
"295922";382500;882481,5;33399;-17913;2;657000;2;"M";"Commercial associate";"Secondary / secondary special";"Married";"";"Business Entity Type 3";"2";"0"
"124794";157500;292500;15997,5;-13111;NA;292500;4;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Housing";"2";"0"
"180252";135000;247675,5;17743,5;-12077;NA;229500;1;"F";"Working";"Secondary / secondary special";"Single / not married";"Sales staff";"Self-employed";"2";"0"
"109854";157500;148500;14818,5;-11169;NA;148500;3;"F";"Working";"Secondary / secondary special";"Single / not married";"Sales staff";"Self-employed";"2";"0"
"179287";63000;545040;20677,5;-20995;NA;450000;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"4540";135000;450000;30204;-11134;6;450000;4;"F";"Working";"Higher education";"Married";"Accountants";"Business Entity Type 3";"1";"0"
"3278";180000;755190;32125,5;-23087;NA;675000;1;"F";"Pensioner";"Secondary / secondary special";"Widow";"";"XNA";"2";"0"
"171607";270000;1350000;37255,5;-19182;20;1350000;2;"M";"Commercial associate";"Secondary / secondary special";"Married";"Drivers";"Business Entity Type 3";"2";"0"
"191655";135000;180000;9000;-15623;13;180000;3;"M";"Commercial associate";"Secondary / secondary special";"Married";"Drivers";"Self-employed";"2";"0"
"183461";58500;180000;9000;-10731;NA;180000;2;"F";"Working";"Higher education";"Married";"Laborers";"Business Entity Type 3";"2";"0"
"106858";202500;1563840;66388,5;-15482;14;1350000;2;"M";"Commercial associate";"Higher education";"Married";"Managers";"Business Entity Type 3";"3";"0"
"29016";135000;203760;24309;-14421;2;180000;1;"M";"Working";"Secondary / secondary special";"Single / not married";"Laborers";"Construction";"2";"0"
"32456";157500;312768;16096,5;-13834;NA;270000;4;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Industry: type 11";"2";"0"
"76810";225000;458460;36220,5;-12349;16;405000;2;"M";"Commercial associate";"Secondary / secondary special";"Married";"Drivers";"Business Entity Type 2";"2";"0"
"297346";360000;550980;43659;-11071;NA;450000;1;"F";"Commercial associate";"Incomplete higher";"Single / not married";"";"Business Entity Type 3";"1";"0"
"108758";135000;814041;26388;-15352;NA;679500;2;"F";"Commercial associate";"Secondary / secondary special";"Civil marriage";"Laborers";"Business Entity Type 3";"1";"0"
"103335";180000;1350000;39604,5;-13520;10;1350000;4;"M";"Working";"Secondary / secondary special";"Civil marriage";"Laborers";"Business Entity Type 2";"2";"0"
"218444";85500;630000;20452,5;-20715;9;630000;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"264956";450000;1006920;51543;-15922;1;9e+05;3;"M";"Commercial associate";"Higher education";"Married";"Managers";"Business Entity Type 3";"2";"0"
"193840";135000;302341,5;16528,5;-10993;NA;261000;2;"F";"Working";"Secondary / secondary special";"Civil marriage";"Sales staff";"Self-employed";"2";"0"
"275049";270000;568800;16758;-20662;NA;450000;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"153140";225000;675000;28728;-16883;18;675000;3;"M";"Commercial associate";"Secondary / secondary special";"Married";"Drivers";"Business Entity Type 3";"3";"0"
"274559";180000;1125000;47794,5;-14331;24;1125000;3;"M";"Working";"Higher education";"Married";"Laborers";"Construction";"3";"0"
"86634";202500;117162;12132;-22734;NA;103500;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"35738";76500;132768;6907,5;-17648;NA;90000;1;"F";"Commercial associate";"Secondary / secondary special";"Separated";"Cooking staff";"School";"2";"0"
"200444";180000;521280;31630,5;-19300;NA;450000;1;"F";"Working";"Secondary / secondary special";"Separated";"Sales staff";"Trade: type 7";"2";"0"
"74263";135000;544491;21226,5;-8517;11;454500;1;"M";"Working";"Secondary / secondary special";"Single / not married";"Laborers";"Business Entity Type 2";"2";"0"
"221370";54000;45000;3735;-13844;NA;45000;4;"F";"Working";"Secondary / secondary special";"Married";"";"Trade: type 7";"2";"0"
"159430";112500;711612;23085;-18540;9;594000;2;"M";"Working";"Secondary / secondary special";"Married";"";"Business Entity Type 3";"2";"0"
"26658";135000;843088,5;35851,5;-18753;NA;670500;2;"F";"Working";"Secondary / secondary special";"Married";"";"Other";"2";"0"
"200367";427500;1421280;137182,5;-17831;NA;1350000;2;"F";"Working";"Higher education";"Married";"Managers";"Self-employed";"2";"0"
"125146";450000;339241,5;12312;-23680;NA;238500;2;"M";"Pensioner";"Higher education";"Married";"";"XNA";"3";"0"
"183626";157500;405000;16623;-13284;NA;405000;1;"M";"Working";"Secondary / secondary special";"Separated";"Core staff";"Security";"2";"0"
"135573";360000;1223010;51817,5;-16114;7;1125000;2;"M";"Commercial associate";"Secondary / secondary special";"Married";"Laborers";"Construction";"2";"0"
"206349";216000;450000;17095,5;-23702;12;450000;1;"M";"Pensioner";"Secondary / secondary special";"Widow";"";"XNA";"2";"0"
"47035";108000;254700;24939;-24881;7;225000;2;"M";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"218278";225000;675000;33750;-11688;2;675000;3;"M";"Working";"Secondary / secondary special";"Single / not married";"";"Other";"2";"0"
"255653";121500;1350000;42520,5;-19487;NA;1350000;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"3";"0"
"115745";225000;170640;9922,5;-11493;6;135000;4;"M";"Commercial associate";"Higher education";"Married";"";"Other";"2";"0"
"86948";180000;315000;25015,5;-12478;NA;315000;4;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Business Entity Type 3";"3";"0"
"38636";180000;162000;10953;-14991;NA;162000;2;"F";"Working";"Secondary / secondary special";"Married";"";"Postal";"3";"0"
"157005";193500;382500;25875;-9669;2;382500;1;"M";"Working";"Incomplete higher";"Single / not married";"";"Business Entity Type 1";"2";"0"
"197254";292500;571486,5;25303,5;-16114;NA;454500;1;"F";"Commercial associate";"Secondary / secondary special";"Widow";"";"Business Entity Type 1";"2";"0"
"2874";171000;180000;9000;-17817;17;180000;3;"M";"Working";"Incomplete higher";"Married";"";"Transport: type 2";"3";"0"
"47951";108000;675000;21906;-8201;NA;675000;1;"M";"Working";"Incomplete higher";"Single / not married";"Laborers";"Business Entity Type 3";"2";"0"
"224011";270000;9e+05;46084,5;-10712;NA;9e+05;4;"F";"Working";"Secondary / secondary special";"Married";"";"Business Entity Type 3";"2";"0"
"176644";157500;408865,5;21006;-19233;NA;310500;1;"F";"Working";"Secondary / secondary special";"Single / not married";"Medicine staff";"Medicine";"3";"0"
"132680";202500;561384;53163;-11711;NA;540000;2;"F";"Commercial associate";"Higher education";"Civil marriage";"Medicine staff";"Government";"1";"0"
"202005";152392,5;511920;14076;-9185;12;405000;2;"F";"Commercial associate";"Incomplete higher";"Civil marriage";"Core staff";"Bank";"1";"0"
"148161";112500;636138;20650,5;-23134;NA;531000;1;"F";"Pensioner";"Secondary / secondary special";"Widow";"";"XNA";"2";"0"
"284181";180000;1339884;39307,5;-18320;NA;1170000;2;"F";"Working";"Secondary / secondary special";"Married";"Managers";"Government";"2";"0"
"229105";76500;9e+05;29034;-11408;NA;9e+05;4;"F";"Working";"Secondary / secondary special";"Married";"";"Business Entity Type 3";"2";"0"
"55583";180000;545040;35617,5;-16846;NA;450000;3;"F";"Working";"Secondary / secondary special";"Civil marriage";"Private service staff";"Services";"2";"0"
"51164";112500;829584;29925;-14161;NA;630000;2;"F";"Commercial associate";"Higher education";"Separated";"Accountants";"Business Entity Type 3";"1";"0"
"241593";315000;521280;26779,5;-11108;NA;450000;4;"M";"Working";"Secondary / secondary special";"Married";"Laborers";"Industry: type 11";"3";"0"
"307000";171000;481495,5;33642;-20856;NA;454500;1;"F";"Working";"Secondary / secondary special";"Separated";"Cleaning staff";"Medicine";"3";"0"
"8792";90000;576072;21847,5;-19149;NA;405000;2;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Postal";"2";"0"
"279876";292500;738000;33480;-23411;NA;738000;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"247016";202500;1096020;56092,5;-17024;NA;9e+05;2;"F";"Working";"Secondary / secondary special";"Married";"Laborers";"Government";"3";"0"
"261580";202500;203760;13149;-21229;13;180000;2;"M";"Commercial associate";"Higher education";"Married";"Laborers";"Self-employed";"2";"0"
"254170";450000;1129500;57375;-16304;4;1129500;3;"M";"Commercial associate";"Secondary / secondary special";"Married";"Managers";"Business Entity Type 3";"2";"0"
"184273";247500;1327500;50562;-9896;9;1327500;2;"F";"Working";"Secondary / secondary special";"Married";"Core staff";"Trade: type 7";"2";"0"
"107570";450000;485640;38938,5;-17915;4;450000;2;"M";"Working";"Higher education";"Married";"Managers";"Business Entity Type 3";"2";"0"
"15074";225000;1214100;67923;-17611;4;1125000;3;"F";"Commercial associate";"Secondary / secondary special";"Married";"Accountants";"Government";"2";"0"
"300344";202500;1220521,5;40468,5;-16696;NA;1093500;2;"F";"Working";"Secondary / secondary special";"Married";"Core staff";"School";"3";"0"
"31199";162000;233208;15313,5;-13451;2;184500;3;"F";"Working";"Incomplete higher";"Married";"";"Business Entity Type 2";"2";"0"
"227633";720000;1096020;55962;-20020;4;9e+05;2;"M";"Commercial associate";"Higher education";"Married";"Managers";"Business Entity Type 1";"1";"0"
"241335";90000;202500;10125;-8311;3;202500;3;"F";"Working";"Secondary / secondary special";"Married";"Sales staff";"Self-employed";"2";"0"
"214155";135000;808650;26217;-14368;NA;675000;2;"F";"Working";"Secondary / secondary special";"Civil marriage";"Medicine staff";"Medicine";"2";"0"
"201624";180000;675000;21775,5;-14022;5;675000;2;"M";"Working";"Secondary / secondary special";"Married";"Core staff";"Self-employed";"2";"0"
"188545";67500;180000;9000;-15185;NA;180000;2;"F";"Commercial associate";"Secondary / secondary special";"Married";"Waiters/barmen staff";"Business Entity Type 3";"2";"0"
"65009";135000;308133;16263;-10060;NA;234000;1;"M";"Working";"Secondary / secondary special";"Single / not married";"";"Industry: type 1";"2";"0"
"176701";162000;545040;34960,5;-14625;17;450000;5;"F";"Commercial associate";"Higher education";"Married";"";"Self-employed";"2";"0"
"108578";157500;292500;14625;-17108;NA;292500;1;"F";"Commercial associate";"Higher education";"Single / not married";"";"Medicine";"1";"0"
"116049";112500;675000;32602,5;-17618;NA;675000;2;"F";"Commercial associate";"Secondary / secondary special";"Married";"High skill tech staff";"Government";"2";"0"
"278916";90000;450000;21649,5;-19872;NA;450000;2;"F";"State servant";"Higher education";"Civil marriage";"";"Transport: type 4";"2";"0"
"64985";144000;225000;16371;-11008;NA;225000;2;"F";"Commercial associate";"Secondary / secondary special";"Married";"";"Business Entity Type 3";"2";"0"
"197716";135000;291384;20853;-11721;NA;270000;2;"F";"Working";"Higher education";"Separated";"Core staff";"Transport: type 2";"1";"0"
"198595";135000;486000;24943,5;-23490;NA;486000;2;"F";"Pensioner";"Secondary / secondary special";"Married";"";"XNA";"2";"0"
"53454";90000;180000;9000;-9658;NA;180000;3;"F";"Working";"Secondary / secondary special";"Married";"Secretaries";"School";"2";"0"
"156296";337500;1123681,5;59998,5;-22493;NA;1062000;2;"F";"Commercial associate";"Secondary / secondary special";"Civil marriage";"Managers";"Self-employed";"2";"0"
